enable_astar_fallback,enable_confidence_fallback,fallback_confidence_threshold,fallback_min_step,fallback_no_progress_patience,fallback_max_calls,model_type,samples,path_validity,exact_match,step_accuracy,optimality_gap_mean,optimality_gap_p95,success_under_1_5x,path_length_ratio_mean,astar_ms_per_query,policy_ms_per_query,speedup_astar_over_policy,speedup_policy_over_astar,stage,score
False,True,0.36,4,3,0,cnn_large,120.0,0.9583333333333334,0.825,nan,0.030111748155226416,0.17499999999999968,0.991304347826087,1.0301117481552264,0.1671741675333275,40.061095000904366,0.004172980482174878,239.63687447654175,coarse,-999999041.6666666
True,True,0.36,4,3,1,cnn_large,120.0,1.0,0.825,nan,0.05754146316646316,0.3016666666666666,0.9833333333333333,1.0575414631664632,0.16691916607669555,39.31674249931045,0.004245498367002888,235.54360726464031,coarse,1112.0082954170116
False,True,0.36,8,1,0,cnn_large,120.0,0.9583333333333334,0.825,nan,0.030111748155226416,0.17499999999999968,0.991304347826087,1.0301117481552264,0.18999583286737712,45.467798333993414,0.004178689970244924,239.3094503590051,coarse,-999999041.6666666
True,True,0.36,8,1,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16766333258904825,39.47274583163865,0.00424757206666532,235.42861293583164,coarse,1111.9302937508473
False,True,0.36,8,3,0,cnn_large,120.0,0.9583333333333334,0.825,nan,0.030111748155226416,0.17499999999999968,0.991304347826087,1.0301117481552264,0.1672783328103833,38.66019416842998,0.004326888066873271,231.11298109512404,coarse,-999999041.6666666
True,True,0.36,8,3,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16945333409239538,39.614740000009384,0.004277532405674131,233.7796432993713,coarse,1111.859296666662
False,False,0.28,4,1,0,cnn_large,120.0,0.9583333333333334,0.825,nan,0.030111748155226416,0.17499999999999968,0.991304347826087,1.0301117481552264,0.1661491667618975,38.97561333506019,0.004262900633110484,234.58205716381812,coarse,-999999041.6666666
True,False,0.28,4,1,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16787500038238554,38.436357500662176,0.004367609505648224,228.95819754645942,coarse,1112.4484879163356
False,False,0.28,4,3,0,cnn_large,120.0,0.9583333333333334,0.825,nan,0.030111748155226416,0.17499999999999968,0.991304347826087,1.0301117481552264,0.165828333653432,38.84786833320201,0.00426865979443469,234.26556534295855,coarse,-999999041.6666666
True,False,0.28,4,3,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.17683250165039982,39.74943500021861,0.004448679626501038,224.7857980248663,coarse,1111.7919491665575
False,False,0.28,8,1,0,cnn_large,120.0,0.9583333333333334,0.825,nan,0.030111748155226416,0.17499999999999968,0.991304347826087,1.0301117481552264,0.17143333534477279,38.79981666686945,0.004418405808890252,226.32597440187703,coarse,-999999041.6666666
True,False,0.28,8,1,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16775666808825918,37.984899163954346,0.0044164041969460156,226.4285503332121,coarse,1112.6742170846896
False,False,0.28,8,3,0,cnn_large,120.0,0.9583333333333334,0.825,nan,0.030111748155226416,0.17499999999999968,0.991304347826087,1.0301117481552264,0.17527416736508408,39.26902166713262,0.004463420781164636,224.0434072942303,coarse,-999999041.6666666
True,False,0.28,8,3,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16722833364231823,38.9999424990189,0.004287912312858541,233.21372431082878,coarse,1112.1666954171574
